Timestamp,Speed,Latitude,Longitude,Altitude,Bearing
16,0.0,39.551701,2.738809999999944,8.2296,-0.048
1097,2.7425,39.55171467799423,2.738808979946384,8.2296,-3.291000000000084
2078,5.195,39.55173809038253,2.7388056630962865,8.2296,-6.2340000000001545
3056,7.365,39.55177098244722,2.7387990301898526,8.2296,-8.838000000000193
8254,16.355,39.552141032851004,2.7386278886283435,8.2296,-19.626000000000204
8254,16.355,39.552141032851004,2.7386278886283435,8.2296,-19.626000000000204
8254,16.355,39.552141032851004,2.7386278886283435,8.2296,-19.626000000000204
11550,28.875,39.55250284753423,2.738303567694061,8.2296,-34.650000000000205
11550,28.875,39.55250284753423,2.738303567694061,8.2296,-34.650000000000205
11550,28.875,39.55250284753423,2.738303567694061,8.2296,-34.650000000000205
14782,36.955,39.55289757516862,2.7378031810081893,8.2296,-44.3460000000002
14782,36.955,39.55289757516862,2.7378031810081893,8.2296,-44.3460000000002
14782,36.955,39.55289757516862,2.7378031810081893,8.2296,-44.3460000000002
17982,44.955,39.55328884500974,2.7371061038603557,8.2296,-53.94600000000023
17982,44.955,39.553288845009746,2.7371061038603557,8.2296,-53.94600000000023
17982,44.955,39.553288845009746,2.7371061038603557,8.2296,-53.94600000000023
21246,44.955,39.553687940247684,2.7363950811193263,8.2296,-53.94600000000023
21246,53.114999999999995,39.553687940247684,2.7363950811193263,8.2296,-63.738000000000255
21246,53.114999999999995,39.553687940247684,2.7363950811193263,8.2296,-63.738000000000255
21246,53.114999999999995,39.553687940247684,2.7363950811193263,8.2296,-63.738000000000255
24446,61.114999999999995,39.55394707792468,2.7352721152150252,8.2296,-73.33800000000028
24446,61.114999999999995,39.55394707792468,2.7352721152150252,8.2296,-73.33800000000028
24446,61.114999999999995,39.55394707792468,2.7352721152150252,8.2296,-73.33800000000028
27646,69.115,39.55407273706607,2.7339565460763424,8.2296,-82.9380000000003
27646,69.115,39.55407273706607,2.7339565460763424,8.2296,-82.9380000000003
27646,69.115,39.55407273706607,2.7339565460763424,8.2296,-82.9380000000003
30878,77.195,39.55405432333444,2.7324613294897517,8.2296,-90.91507246159915
30878,77.195,39.55405432333444,2.7324613294897517,8.2296,-90.91507246159915
30878,77.195,39.55405432333444,2.7324613294897517,8.2296,-90.91507246159915
34110,85.27499999999999,39.554033960666445,2.730809609505968,8.2296,-90.91604295600041
34110,85.27499999999999,39.554033960666445,2.730809609505968,8.2296,-90.91604295600041
34110,85.27499999999999,39.554033960666445,2.730809609505968,8.2296,-90.91604295600041
34110,85.27499999999999,39.554033960666445,2.730809609505968,8.2296,-90.91604295600041
37310,93.27499999999999,39.55401188240167,2.729020823798578,8.2296,-90.91711539568917
37310,93.27499999999999,39.55401188240167,2.729020823798578,8.2296,-90.91711539568917
37310,93.27499999999999,39.55401188240167,2.729020823798578,8.2296,-90.91711539568917
40542,101.35499999999999,39.55398762099347,2.7270576473995334,8.2296,-90.9182772069617
